workclass,occupation,gender,hours-per-week,marital-status,relationship,race,native-country,age,capital-gain,education,capital-loss,fnlwgt,income
4,4,0,40,4,1,4,39,26,0,12,0,31208,0
4,7,0,40,4,3,4,39,33,0,11,0,281384,0
2,1,0,40,0,1,4,39,47,0,11,0,171807,0
4,8,0,40,4,1,4,0,41,0,9,0,109912,0
5,3,1,60,2,0,4,39,41,15024,7,0,445382,1
4,8,1,20,4,3,4,39,19,0,15,0,105460,0
4,14,1,40,5,1,4,39,46,0,11,0,170338,0
4,12,1,48,2,0,4,39,43,0,11,0,102606,0
4,4,1,45,2,0,4,39,55,15024,15,0,323887,1
4,13,1,40,2,0,4,39,46,0,8,0,175622,0
4,7,1,40,2,0,4,26,30,0,11,0,229636,0
4,6,0,40,5,1,4,39,21,0,15,0,388946,0
4,3,1,40,2,0,3,6,46,0,15,0,269034,0
0,0,1,40,4,3,4,39,17,0,0,0,165361,0
4,7,1,50,2,0,4,39,41,0,11,0,75012,0
5,12,1,30,2,0,4,39,69,0,11,0,174379,0
4,14,1,40,2,0,4,39,50,0,11,0,312477,0
4,1,0,40,4,1,4,39,20,0,15,0,72055,0
5,7,1,50,2,0,4,39,45,0,15,0,67001,0
4,4,1,40,4,1,4,39,23,0,9,0,213734,0
4,8,1,40,5,1,4,39,24,0,15,1876,83141,0
5,3,1,50,2,0,4,0,44,99999,11,0,223881,1
6,3,1,50,2,0,4,39,31,0,15,0,113752,0
4,7,0,44,5,1,4,39,43,0,11,0,170482,0
1,8,0,10,4,3,4,39,20,0,1,0,244689,0
4,12,1,56,2,0,4,39,55,0,11,0,160631,1
1,2,1,40,4,1,4,39,24,0,15,0,228724,0
0,0,0,10,2,5,4,39,41,7688,12,0,38434,1
4,4,0,25,4,1,4,39,59,0,9,0,292946,0
1,8,1,20,4,1,2,39,49,0,5,0,77443,0
4,10,0,10,2,5,4,39,33,5178,12,0,176410,1
1,1,1,40,0,1,4,39,59,0,9,0,98984,0
4,8,1,40,4,1,0,39,34,0,12,0,198751,0
4,6,1,40,4,3,4,39,20,0,11,0,479296,0
4,4,0,40,4,3,4,39,25,0,9,0,235218,0
4,5,1,40,2,0,4,39,49,0,0,0,164877,0
4,14,1,40,2,0,4,39,59,0,11,0,272087,1
4,1,0,40,4,1,4,39,20,0,11,0,169699,0
0,0,0,18,2,5,4,39,51,0,15,0,189762,0
4,1,0,35,4,4,2,39,33,0,15,0,202191,0
4,14,1,39,4,3,2,39,22,0,15,0,212261,0
6,8,0,40,6,1,4,39,58,0,6,0,301568,0
2,1,0,28,6,4,4,39,52,0,11,0,155233,0
4,7,0,40,5,1,4,39,36,0,0,0,75826,0
2,11,1,40,2,0,4,39,41,0,11,0,201520,0
4,14,1,40,4,3,4,39,28,2597,11,0,154236,0
4,6,1,16,4,3,2,39,19,0,15,0,289227,0
4,8,0,28,4,1,4,39,18,0,11,0,217439,0
4,7,0,48,4,3,4,39,18,0,11,0,179020,0
4,3,1,40,2,0,4,39,28,0,15,0,149624,0
4,4,1,40,2,0,4,39,29,0,8,0,337266,1
0,0,0,20,4,3,4,39,20,0,11,0,30796,0
4,6,1,40,2,0,4,39,40,0,15,0,103541,0
4,6,1,40,4,4,4,39,26,0,11,0,206721,0
4,3,1,40,2,0,4,39,46,0,11,0,96773,0
4,8,0,24,4,1,4,39,23,0,1,0,200967,0
4,1,0,40,3,4,4,39,44,0,11,0,180019,0
4,12,0,40,0,4,4,39,43,0,9,0,179866,1
2,10,0,60,0,4,4,39,31,0,9,0,198770,0
4,12,0,25,4,3,4,39,18,0,15,0,219256,0
4,11,1,30,4,3,4,39,19,0,15,0,248730,0
4,13,0,40,0,1,4,39,41,0,15,0,110732,0
4,6,0,40,0,4,4,39,41,0,11,0,181020,0
4,1,0,25,0,1,4,39,69,0,11,0,183791,0
1,10,0,40,2,5,4,39,48,0,10,0,42972,1
4,10,1,40,4,3,4,39,28,0,11,0,134813,0
6,3,1,60,2,0,4,21,27,0,11,0,115438,1
4,10,1,50,2,0,4,39,41,0,12,2415,239296,1
4,1,1,40,2,0,4,39,41,0,15,0,428420,0
4,3,0,40,4,4,2,39,24,0,11,0,247846,0
0,0,0,40,4,1,4,39,20,0,11,0,334105,0
5,10,1,41,2,0,4,39,42,0,10,0,100793,1
4,3,1,48,2,0,2,39,57,0,11,0,244478,0
4,10,0,40,4,1,4,39,30,0,7,0,142921,0
4,12,1,60,2,0,4,39,36,0,11,0,182863,1
4,7,1,40,2,0,2,39,49,0,5,0,171128,0
4,7,0,35,2,5,4,39,33,0,11,0,145402,0
4,5,1,40,2,0,4,39,23,0,0,0,306309,0
4,10,1,40,2,0,4,39,46,0,12,0,83822,0
4,1,0,22,4,3,1,11,18,0,15,0,262118,0
4,4,1,55,2,0,4,39,40,7688,11,0,155972,1
5,4,1,45,2,0,4,39,43,0,11,1887,214503,1
4,10,0,30,4,3,4,39,34,0,12,0,159303,0
6,4,0,30,6,1,4,39,47,0,11,0,174995,0
4,4,0,30,6,4,4,39,44,0,8,0,26669,0
4,12,1,40,2,0,4,39,33,0,11,0,177727,1
4,4,1,50,2,0,4,39,55,15024,9,0,124771,1
4,12,1,30,4,1,4,39,19,2907,11,0,456736,0
4,8,1,14,4,1,2,39,28,0,15,0,216604,0
4,8,0,32,2,5,2,39,27,0,1,0,221561,0
4,7,1,20,2,0,4,39,50,0,5,0,114564,0
4,3,1,40,4,4,4,39,22,0,1,0,315476,0
7,1,1,45,2,0,4,39,40,0,9,1887,67874,1
4,1,0,40,4,3,4,39,25,0,15,0,126110,0
2,3,1,40,4,1,4,39,26,0,11,0,102264,0
4,12,1,25,4,1,4,39,22,0,9,0,537222,0
4,6,0,40,4,4,2,39,42,0,15,625,113732,0
5,4,1,40,0,1,4,39,38,0,9,0,93225,0
4,8,1,30,2,0,4,39,55,0,1,0,43064,0
4,12,1,40,2,0,4,39,32,0,11,0,136921,0
4,3,1,45,2,0,4,39,22,0,11,0,388885,0
4,12,1,40,4,3,4,39,29,0,9,0,142249,0
7,4,1,45,2,0,4,39,46,0,12,0,56841,1
4,4,1,40,2,0,4,39,31,0,15,0,156493,1
6,10,1,16,2,0,4,39,58,0,10,0,159021,1
4,3,1,45,2,0,4,39,42,0,11,0,190910,0
4,6,1,25,4,4,4,39,18,0,11,0,41879,0
2,4,1,33,0,1,4,39,58,0,11,0,137249,0
4,10,1,40,2,0,4,39,54,0,11,1887,236157,1
4,10,1,40,4,1,4,39,34,0,12,0,189759,0
4,1,0,40,4,1,4,39,26,0,9,0,239877,0
4,4,1,60,2,0,4,39,61,0,2,0,21175,0
2,1,0,40,5,4,2,39,48,0,12,0,67229,0
4,4,1,45,2,0,4,39,36,0,15,0,236391,1
4,7,1,45,2,0,4,39,24,0,8,0,325596,0
4,7,1,37,2,0,4,39,40,0,15,0,83411,0
5,12,1,50,2,0,4,39,33,0,11,0,154227,1
4,7,1,40,2,0,4,39,37,0,15,1887,248010,1
4,4,1,40,4,3,4,39,34,4650,12,0,198613,0
5,4,1,40,2,0,4,39,56,15024,15,0,321529,1
0,0,0,38,2,3,4,39,28,0,11,0,168524,1
4,4,0,55,6,1,4,39,37,0,9,0,203079,0
4,12,0,40,0,4,2,39,44,0,11,0,284652,0
0,0,1,8,2,0,4,39,64,0,15,0,201368,0
4,6,1,45,0,1,4,39,54,0,11,0,59840,0
4,7,1,50,4,1,4,39,23,0,11,0,52753,0
7,5,1,40,3,1,2,0,34,0,9,0,513100,0
4,8,0,45,4,1,4,39,22,0,11,0,199266,0
4,4,1,40,2,0,4,39,33,0,9,1977,196385,1
4,10,1,50,5,1,4,39,39,0,9,0,163205,1
4,1,0,37,0,1,2,39,47,0,15,0,411047,0
0,0,1,40,6,1,4,39,79,0,5,0,48574,0
4,10,0,55,4,4,2,39,26,0,11,0,209440,0
4,4,0,40,0,4,4,39,31,0,15,0,56964,0
4,14,1,45,4,1,4,39,44,0,15,0,299197,0
5,10,0,50,2,5,4,39,42,0,14,0,240628,1
4,7,0,40,4,1,4,39,19,0,11,0,355313,0
4,6,1,40,2,0,4,39,27,0,11,0,132267,1
2,11,1,40,2,0,4,39,51,0,15,0,174861,1
5,4,1,50,2,0,4,39,28,0,9,0,142443,0
4,3,1,45,0,1,4,39,57,0,9,0,26716,0
2,10,0,40,0,4,4,39,45,0,9,0,185588,0
4,10,1,40,2,0,4,39,50,0,8,0,175029,1
5,12,1,54,2,0,4,39,34,0,9,0,34848,0
4,3,1,40,2,0,2,39,45,0,5,0,411273,0
2,4,1,20,2,0,4,39,73,0,11,0,143437,0
4,10,0,50,2,5,4,39,34,0,9,0,357145,1
4,12,1,55,2,0,4,39,31,0,15,0,236861,1
4,12,1,12,4,1,4,39,19,0,1,0,53355,0
4,8,0,50,4,3,4,39,25,0,15,0,29106,0
1,3,0,40,0,4,4,39,38,6497,8,0,213274,0
4,14,1,40,2,0,4,39,39,0,9,0,22463,0
4,13,0,32,4,3,2,39,23,0,9,0,180497,0
4,7,1,40,2,0,4,39,49,0,11,0,37306,0
1,8,1,32,4,1,4,39,33,0,11,0,137814,0
4,7,1,38,4,2,4,26,21,0,4,0,447488,0
4,3,1,40,5,1,4,39,31,0,8,0,220915,0
4,4,0,45,4,1,4,39,23,0,9,0,42251,0
4,1,1,40,2,0,1,30,34,0,9,0,162312,0
4,7,0,40,4,1,1,30,25,0,11,0,77698,0
4,3,1,40,4,4,4,39,39,0,11,0,282951,0
5,12,1,40,2,0,4,39,52,0,11,0,311259,1
2,14,1,40,2,0,4,39,63,7688,6,0,65479,1
4,3,1,40,2,0,4,39,41,0,15,0,277256,0
4,10,1,38,2,0,4,39,46,15024,9,0,312088,1
2,4,1,40,2,0,4,39,53,0,11,0,169719,0
0,0,0,40,5,1,4,39,25,1055,6,0,270276,0
0,0,1,35,2,0,4,39,77,0,15,0,172744,0
4,9,1,40,4,3,4,39,18,0,2,0,96869,0
4,10,1,50,2,0,4,39,38,0,14,0,237943,0
4,4,0,50,4,4,1,37,55,0,12,0,119751,0
4,13,1,40,2,0,4,39,34,0,11,0,236861,1
6,8,1,30,2,0,4,39,80,0,11,0,201092,0
4,13,0,60,0,4,4,39,34,0,8,0,147215,0
4,13,1,40,2,0,4,39,52,5013,15,0,152373,0
4,8,0,28,4,4,2,14,42,0,11,0,227968,0
4,12,0,40,4,1,4,39,26,0,15,0,362617,0
4,14,1,40,2,0,4,39,31,0,11,0,103435,0
2,8,0,35,4,3,4,39,25,0,11,0,281412,0
6,3,1,60,2,0,4,39,55,0,11,2057,105239,0
4,8,0,12,4,3,4,39,19,0,15,0,230165,0
6,14,1,32,2,0,4,39,62,0,15,0,177493,0
1,1,0,20,4,3,4,39,22,0,15,0,104443,0
0,0,0,50,2,5,4,39,39,0,11,0,110342,0
4,6,1,40,2,0,4,39,35,0,11,0,143385,0
4,12,0,40,2,3,4,39,28,0,11,0,107189,0
4,14,1,70,2,0,4,39,47,0,11,0,212944,1
7,7,1,40,2,0,4,39,44,0,11,0,138634,0
4,12,1,15,4,3,4,39,21,0,15,0,99970,0
4,3,1,50,4,1,4,39,35,0,8,0,203717,0
4,10,1,40,2,0,4,39,24,0,9,0,313956,1
1,10,1,40,4,1,4,0,42,0,9,0,177937,0
4,13,1,50,4,3,4,39,28,0,9,0,193868,0
4,7,1,35,4,2,4,39,21,0,15,0,250939,0
1,13,1,40,0,1,2,39,62,4650,15,0,57629,0
4,8,0,40,4,1,2,39,39,0,11,0,281768,0
7,8,1,40,4,1,4,39,30,0,11,0,260782,0
6,10,1,20,4,1,4,39,72,0,14,1429,243769,0
4,4,0,50,2,5,4,39,50,0,15,0,109937,0
2,10,1,40,4,1,4,39,28,0,12,0,134890,0
4,10,0,40,4,1,4,39,29,0,15,0,100293,0
4,1,0,40,4,3,4,39,26,0,9,0,132179,0
4,4,0,40,4,1,4,39,27,0,12,0,116372,0
4,6,1,40,2,0,4,39,29,3103,15,0,255412,1
0,0,1,40,2,0,4,39,61,0,11,0,195789,0
4,3,1,25,2,0,4,39,29,0,0,0,342400,0
0,0,0,30,4,3,4,39,21,0,15,0,65481,0
4,12,0,20,2,5,4,39,31,0,1,0,169085,0
4,4,1,75,2,0,4,39,25,0,11,0,177221,0
4,14,1,40,2,0,4,39,58,0,0,0,65325,1
4,4,0,40,2,5,4,39,64,0,15,0,118944,1
7,4,1,38,4,1,4,39,46,0,12,0,149337,0
0,0,1,35,2,0,4,39,53,0,11,0,237868,1
4,8,0,35,4,3,0,39,19,0,11,0,106183,0
4,8,1,52,0,1,2,39,42,0,11,0,226388,0
4,6,1,24,4,3,4,39,18,0,1,0,220754,0
5,3,1,50,2,0,4,39,58,15024,9,0,204021,1
4,11,1,60,4,1,2,39,20,0,15,0,347391,0
1,3,1,40,2,0,4,39,35,0,11,0,413930,1
4,6,1,38,2,0,4,39,32,0,11,0,174201,1
4,6,0,25,4,1,4,39,23,0,11,0,145917,0
4,13,0,40,0,4,4,39,31,0,15,0,241797,0
4,12,1,55,2,0,2,39,33,0,9,0,265168,0
4,7,0,48,4,1,4,39,41,0,15,0,171234,0
4,7,1,40,4,3,2,39,22,0,11,0,178452,0
4,11,1,40,2,0,4,39,46,0,15,0,157857,1
1,14,1,40,2,0,2,39,61,0,15,0,512864,0
4,4,1,40,4,1,2,39,30,0,11,0,296462,0
4,4,1,55,2,0,4,39,42,0,11,0,171615,1
4,6,1,40,2,0,4,39,63,0,0,0,214071,0
4,12,1,40,2,0,4,39,26,0,15,0,172421,0
4,1,0,40,0,4,4,39,42,0,0,0,195488,0
4,8,1,40,2,0,4,39,23,0,15,0,316841,0
4,7,1,40,4,4,4,39,25,0,11,1590,236267,0
4,8,1,32,2,0,4,8,30,0,6,0,236543,1
4,12,1,40,4,3,4,39,23,0,11,0,318483,0
6,5,1,60,4,1,4,39,34,27828,8,0,163756,1
4,7,1,48,2,2,4,39,30,0,11,2057,238186,0
4,3,1,40,2,0,4,39,39,0,15,0,329980,1
4,6,1,38,4,2,4,33,30,0,1,1721,169269,0
2,1,0,38,0,4,4,39,38,0,15,0,34744,0
4,4,0,40,0,3,4,39,26,0,11,0,98114,0
4,6,1,16,4,3,4,39,20,0,15,0,109667,0
2,10,1,40,4,4,2,0,37,0,9,0,263690,0
4,1,0,40,2,3,4,39,33,0,11,0,147430,0
4,1,1,40,4,3,4,39,24,0,9,0,224238,0
5,4,1,60,2,0,4,39,42,0,9,0,212894,1
6,12,1,84,2,0,1,40,51,3103,11,0,136708,0
2,13,1,45,2,0,4,39,56,0,7,0,38573,1
4,6,1,40,4,3,4,39,22,0,15,0,197200,0
6,5,1,60,2,0,4,39,52,0,15,0,182796,0
4,4,0,45,0,4,4,39,44,4934,9,0,184527,1
4,1,0,35,2,5,4,39,34,4064,11,0,145231,0
4,3,1,42,0,1,4,39,51,0,15,0,43354,1
0,0,1,40,4,1,4,39,20,0,15,0,318865,0
4,12,0,25,4,1,4,39,19,0,15,0,355712,0
4,4,1,40,2,0,4,39,37,0,9,0,98776,1
4,7,1,40,2,0,2,39,68,0,11,0,257557,1
4,11,1,40,0,1,4,39,22,0,15,0,102258,0
5,4,1,40,2,0,4,39,56,0,9,0,170287,0
4,3,1,40,2,0,4,39,37,0,11,0,243409,0
4,7,1,40,2,0,4,26,52,0,3,0,55608,0
4,6,1,40,5,3,4,33,26,0,11,0,248057,0
4,10,1,50,2,0,4,39,33,0,12,0,95530,0
2,10,0,42,0,4,4,39,45,0,12,0,54038,0
4,8,1,15,4,3,4,39,18,0,1,0,161245,0
6,5,1,60,2,0,4,39,43,0,15,0,388725,1
6,10,1,50,2,0,4,0,64,15024,10,0,71807,1
4,6,1,20,4,3,4,39,18,0,11,0,228216,0
0,0,1,45,4,3,4,39,20,0,15,0,303121,0
4,3,1,40,2,0,4,39,57,0,11,0,78020,1
4,1,0,42,0,4,4,39,41,3674,11,0,249254,0
4,4,1,50,2,0,4,39,34,0,12,1887,87218,1
4,12,0,40,4,4,4,39,19,0,11,0,304299,0
4,8,0,55,0,4,4,6,44,0,6,0,196234,0
4,8,0,40,6,4,4,39,56,0,0,0,197875,0
5,5,1,80,2,0,4,39,36,0,11,0,48063,0
4,4,0,48,0,4,4,39,48,0,9,0,253596,0
4,14,1,40,2,0,4,39,29,0,11,0,39257,1
4,3,1,40,4,1,4,39,33,2174,9,0,56150,0
4,8,1,40,2,0,4,26,31,0,4,0,179415,0
4,10,1,45,2,0,4,39,39,0,12,0,252445,1
4,4,1,40,2,0,4,39,66,10605,11,0,275918,1
4,10,0,50,4,1,4,39,27,0,9,0,106562,1
4,4,0,40,0,4,2,39,39,99999,11,0,198654,1
4,3,1,50,2,0,4,39,59,5178,5,0,107318,1
4,8,0,40,4,3,4,39,26,0,11,0,181896,0
4,3,1,40,0,4,4,39,31,0,8,0,106014,0
0,0,0,40,6,4,4,26,45,0,11,0,319993,0
4,6,1,30,4,3,4,39,23,0,11,0,197997,0
2,1,0,40,0,4,4,39,36,0,11,0,173542,0
4,8,0,12,2,5,4,39,34,0,15,0,207564,1
4,14,1,84,2,0,4,39,32,0,11,0,224462,1
4,10,1,50,2,0,2,39,37,0,9,0,123361,1
4,12,1,45,4,1,4,39,33,0,9,0,90409,0
6,10,1,80,2,0,4,39,50,99999,14,0,165001,1
1,11,1,40,4,1,2,39,32,0,7,0,149573,0
4,1,0,40,4,3,2,39,35,0,9,0,249456,0
4,3,1,40,2,0,4,39,37,0,1,0,149898,0
4,3,1,60,0,1,4,39,44,0,15,0,292985,0
4,6,1,25,0,2,4,39,57,0,15,0,50223,0
2,4,0,40,2,3,4,39,29,0,15,0,400074,0
4,3,1,50,2,0,4,39,55,0,11,0,197399,1
5,10,1,25,2,0,4,39,43,0,14,0,209547,1
4,12,1,70,2,0,4,39,43,0,15,0,52433,0
6,12,1,60,2,0,4,39,45,0,15,0,355978,1
6,10,0,8,2,5,4,39,33,0,12,0,48214,0
4,8,0,40,0,4,4,11,26,0,0,0,190873,0
4,12,1,68,2,0,4,39,23,0,15,0,278390,0
4,3,1,40,5,1,4,26,41,0,5,0,203217,0
4,3,1,40,2,0,4,39,24,0,11,0,279175,0
6,12,1,44,2,0,4,39,47,0,9,0,194590,0
6,3,1,45,4,3,4,39,34,0,11,0,198813,0
4,4,1,40,2,0,4,39,40,0,11,0,187294,1
4,10,0,40,2,5,1,39,28,0,9,1485,302903,0
4,4,0,40,4,3,1,35,24,0,11,0,154835,0
0,0,1,10,2,0,4,39,73,0,15,0,73402,0
4,3,1,15,4,2,4,39,23,0,11,0,100345,0
6,4,1,40,2,0,2,39,43,0,11,0,126320,1
4,13,0,40,0,1,4,39,26,0,9,0,142226,0
6,4,0,35,1,5,4,39,58,0,10,1485,112076,1
4,1,0,35,6,4,2,39,52,0,11,0,225339,0
4,14,1,99,2,0,4,39,29,0,1,0,211208,1
4,8,1,35,2,0,4,4,47,0,1,0,200808,0
4,1,0,37,0,4,2,39,49,0,11,0,220618,0
4,1,0,40,6,4,4,39,40,0,1,0,210493,0
6,1,0,40,2,5,4,39,62,0,11,0,369734,0
4,4,1,55,2,0,4,39,49,0,11,1977,27898,1
4,10,0,50,0,2,4,39,50,0,9,0,138193,1
4,14,1,40,4,3,2,39,31,0,11,0,224234,0
2,10,0,50,4,1,4,39,48,0,12,0,188741,0
4,3,0,40,4,4,4,39,24,0,11,0,183772,0
0,0,0,40,4,3,4,39,41,3418,11,0,155041,0
4,7,1,60,5,3,1,39,37,0,11,0,79586,0
4,4,1,45,2,0,1,24,45,0,9,0,355781,1
0,0,1,16,2,0,4,39,63,0,11,0,156158,0
4,4,1,45,2,0,1,19,36,0,12,0,116358,0
4,4,1,40,2,0,4,39,45,0,9,0,59287,0
4,12,0,40,4,1,4,39,41,0,9,0,138868,0
4,13,0,20,4,2,4,39,26,0,7,0,185885,0
4,12,0,25,4,3,4,39,17,0,1,0,40299,0
4,8,1,36,2,0,4,0,27,0,11,0,500068,0
4,7,1,65,2,0,4,39,43,0,11,0,51494,0
4,14,1,55,4,3,4,39,35,0,11,0,179481,0
4,1,0,40,0,4,4,39,38,0,9,0,365907,0
4,7,1,40,4,1,4,39,26,0,11,0,284343,0
4,4,0,40,4,3,4,39,28,0,15,0,204862,0
4,10,0,24,2,5,4,39,38,0,9,0,272476,1
4,14,0,40,0,4,4,39,36,0,1,0,175130,0
4,1,0,40,2,5,4,39,33,0,11,0,118941,1
4,6,1,70,4,3,4,39,19,1055,11,0,164339,0
0,0,1,25,4,3,4,39,22,0,7,0,213291,0
1,1,1,40,2,0,4,26,42,0,0,0,55457,0
4,14,1,40,2,0,4,39,50,0,0,0,280292,1
4,6,1,30,2,0,4,39,30,0,11,0,446894,0
7,10,1,40,2,2,1,1,37,0,15,0,67083,0
5,10,1,40,2,0,4,39,54,99999,14,0,159219,1
5,4,1,40,4,1,4,39,52,0,9,0,168539,0
4,6,1,40,2,0,3,0,65,0,3,0,88145,0
4,3,0,40,0,1,4,39,33,0,11,0,150309,0
4,13,1,40,4,2,4,39,25,0,15,0,122999,0
4,12,1,45,4,1,4,39,24,0,9,0,302195,0
4,1,0,40,5,4,2,39,26,114,8,0,210982,0
4,1,1,40,5,1,4,39,39,0,11,0,177140,1
4,8,0,40,0,1,4,39,59,0,11,0,113838,0
4,1,0,40,4,4,4,39,29,0,15,0,97165,0
4,8,0,45,4,3,4,39,47,0,1,0,104301,0
0,0,0,35,4,3,4,39,23,0,15,0,192028,0
5,14,1,50,2,0,4,39,64,0,11,0,115931,0
4,8,1,20,4,3,3,39,21,0,11,0,147280,0
4,1,0,40,2,5,2,39,32,0,15,0,185433,1
4,4,0,37,4,1,2,39,26,0,11,0,599057,0
0,0,0,20,4,3,2,39,19,0,15,0,50626,0
6,10,1,40,2,0,4,39,62,0,12,0,71467,0
4,3,1,55,2,0,4,39,32,0,9,0,183977,1
0,0,0,5,3,1,4,39,75,0,0,0,26586,0
6,4,1,60,2,0,4,39,45,0,11,0,196858,0
4,4,1,50,2,0,4,39,31,0,9,1887,160594,1
4,1,1,40,2,0,4,39,32,2580,11,0,65278,0
4,12,1,40,2,0,4,39,24,0,9,0,102258,0
4,12,0,40,4,3,4,39,25,0,9,0,196947,0
6,4,1,60,2,0,4,39,41,0,11,0,233150,0
4,12,0,20,4,3,4,39,18,0,15,0,42857,0
4,10,1,55,2,0,4,39,44,0,10,0,118059,1
4,4,1,50,2,0,4,39,40,3411,15,0,169262,0
4,10,1,40,4,1,4,39,27,0,9,0,95108,0
4,1,1,40,4,3,4,39,23,0,9,0,161092,0
4,1,1,40,4,1,3,39,21,2174,15,0,345253,0
7,14,1,40,2,0,4,39,37,0,11,0,111275,0
6,5,1,48,2,0,4,39,65,0,11,0,178878,0
1,10,1,40,2,0,4,39,43,0,12,0,157237,1
4,1,1,44,4,1,4,39,45,0,11,0,155664,0
7,4,0,40,4,1,4,39,24,0,9,0,322658,0
4,7,1,42,4,1,4,39,24,0,15,0,208503,0
2,11,1,35,4,3,4,39,19,0,15,1721,223326,0
4,10,1,65,2,0,4,39,37,0,9,0,20308,1
4,1,0,35,4,3,4,39,24,0,11,0,124751,0
4,7,1,40,2,0,4,11,34,0,15,0,113364,0
7,8,0,39,2,5,4,39,50,0,11,0,196900,0
4,3,1,40,2,0,4,33,36,0,11,0,168170,0
4,12,1,60,2,0,4,39,39,0,9,0,205338,0
6,3,1,38,2,0,4,39,44,0,5,0,98806,0
7,8,1,40,2,0,4,39,45,0,11,0,226452,0
7,11,1,40,4,3,4,39,32,0,1,0,479179,0
1,4,1,40,2,0,2,39,47,0,12,0,471990,1
4,7,1,40,2,0,4,39,50,0,11,0,44728,0
4,8,1,40,2,0,4,39,32,0,8,0,33117,0
4,6,1,40,4,3,4,39,19,0,11,0,264876,0
0,0,0,20,4,3,4,39,19,0,15,0,47235,0
7,10,1,10,0,1,4,0,28,0,12,0,293628,0
4,12,1,50,0,2,4,39,28,0,11,0,193122,0
1,10,1,40,4,1,4,31,39,0,12,0,149347,1
4,8,1,40,4,1,4,39,21,2907,15,0,129172,0
6,5,0,75,6,1,4,39,73,0,15,0,151255,0
