age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,gender,native-country,income
20,72055,0,0,40,4,15,4,1,1,4,0,39,0
45,67001,0,0,50,5,15,2,7,0,4,1,39,0
23,213734,0,0,40,4,9,4,4,1,4,1,39,0
24,83141,0,1876,40,4,15,5,8,1,4,1,39,0
44,223881,99999,0,50,5,11,2,3,0,4,1,0,1
31,113752,0,0,50,6,15,2,3,0,4,1,39,0
43,170482,0,0,44,4,11,5,7,1,4,0,39,0
20,244689,0,0,10,1,1,4,8,3,4,0,39,0
55,160631,0,0,56,4,11,2,12,0,4,1,39,1
24,228724,0,0,40,1,15,4,2,1,4,1,39,0
41,38434,7688,0,10,0,12,2,0,5,4,0,39,1
59,292946,0,0,25,4,9,4,4,1,4,0,39,0
49,77443,0,0,20,1,5,4,8,1,2,1,39,0
33,176410,5178,0,10,4,12,2,10,5,4,0,39,1
59,98984,0,0,40,1,9,0,1,1,4,1,39,0
34,198751,0,0,40,4,12,4,8,1,0,1,39,0
20,479296,0,0,40,4,11,4,6,3,4,1,39,0
25,235218,0,0,40,4,9,4,4,3,4,0,39,0
49,164877,0,0,40,4,0,2,5,0,4,1,39,0
59,272087,0,0,40,4,11,2,14,0,4,1,39,1
20,169699,0,0,40,4,11,4,1,1,4,0,39,0
51,189762,0,0,18,0,15,2,0,5,4,0,39,0
33,202191,0,0,35,4,15,4,1,4,2,0,39,0
22,212261,0,0,39,4,15,4,14,3,2,1,39,0
58,301568,0,0,40,6,6,6,8,1,4,0,39,0
52,155233,0,0,28,2,11,6,1,4,4,0,39,0
36,75826,0,0,40,4,0,5,7,1,4,0,39,0
41,201520,0,0,40,2,11,2,11,0,4,1,39,0
28,154236,2597,0,40,4,11,4,14,3,4,1,39,0
19,289227,0,0,16,4,15,4,6,3,2,1,39,0
18,217439,0,0,28,4,11,4,8,1,4,0,39,0
18,179020,0,0,48,4,11,4,7,3,4,0,39,0
28,149624,0,0,40,4,15,2,3,0,4,1,39,0
29,337266,0,0,40,4,8,2,4,0,4,1,39,1
20,30796,0,0,20,0,11,4,0,3,4,0,39,0
40,103541,0,0,40,4,15,2,6,0,4,1,39,0
26,206721,0,0,40,4,11,4,6,4,4,1,39,0
46,96773,0,0,40,4,11,2,3,0,4,1,39,0
23,200967,0,0,24,4,1,4,8,1,4,0,39,0
44,180019,0,0,40,4,11,3,1,4,4,0,39,0
43,179866,0,0,40,4,9,0,12,4,4,0,39,1
31,198770,0,0,60,2,9,0,10,4,4,0,39,0
18,219256,0,0,25,4,15,4,12,3,4,0,39,0
19,248730,0,0,30,4,15,4,11,3,4,1,39,0
41,110732,0,0,40,4,15,0,13,1,4,0,39,0
41,181020,0,0,40,4,11,0,6,4,4,0,39,0
69,183791,0,0,25,4,11,0,1,1,4,0,39,0
48,42972,0,0,40,1,10,2,10,5,4,0,39,1
28,134813,0,0,40,4,11,4,10,3,4,1,39,0
27,115438,0,0,60,6,11,2,3,0,4,1,21,1
41,239296,0,2415,50,4,12,2,10,0,4,1,39,1
41,428420,0,0,40,4,15,2,1,0,4,1,39,0
24,247846,0,0,40,4,11,4,3,4,2,0,39,0
20,334105,0,0,40,0,11,4,0,1,4,0,39,0
42,100793,0,0,41,5,10,2,10,0,4,1,39,1
57,244478,0,0,48,4,11,2,3,0,2,1,39,0
30,142921,0,0,40,4,7,4,10,1,4,0,39,0
36,182863,0,0,60,4,11,2,12,0,4,1,39,1
49,171128,0,0,40,4,5,2,7,0,2,1,39,0
33,145402,0,0,35,4,11,2,7,5,4,0,39,0
23,306309,0,0,40,4,0,2,5,0,4,1,39,0
46,83822,0,0,40,4,12,2,10,0,4,1,39,0
18,262118,0,0,22,4,15,4,1,3,1,0,11,0
40,155972,7688,0,55,4,11,2,4,0,4,1,39,1
43,214503,0,1887,45,5,11,2,4,0,4,1,39,1
34,159303,0,0,30,4,12,4,10,3,4,0,39,0
47,174995,0,0,30,6,11,6,4,1,4,0,39,0
44,26669,0,0,30,4,8,6,4,4,4,0,39,0
33,177727,0,0,40,4,11,2,12,0,4,1,39,1
55,124771,15024,0,50,4,9,2,4,0,4,1,39,1
19,456736,2907,0,30,4,11,4,12,1,4,1,39,0
28,216604,0,0,14,4,15,4,8,1,2,1,39,0
27,221561,0,0,32,4,1,2,8,5,2,0,39,0
50,114564,0,0,20,4,5,2,7,0,4,1,39,0
22,315476,0,0,40,4,1,4,3,4,4,1,39,0
40,67874,0,1887,45,7,9,2,1,0,4,1,39,1
25,126110,0,0,40,4,15,4,1,3,4,0,39,0
26,102264,0,0,40,2,11,4,3,1,4,1,39,0
22,537222,0,0,25,4,9,4,12,1,4,1,39,0
42,113732,0,625,40,4,15,4,6,4,2,0,39,0
38,93225,0,0,40,5,9,0,4,1,4,1,39,0
55,43064,0,0,30,4,1,2,8,0,4,1,39,0
32,136921,0,0,40,4,11,2,12,0,4,1,39,0
22,388885,0,0,45,4,11,2,3,0,4,1,39,0
29,142249,0,0,40,4,9,4,12,3,4,1,39,0
46,56841,0,0,45,7,12,2,4,0,4,1,39,1
31,156493,0,0,40,4,15,2,4,0,4,1,39,1
58,159021,0,0,16,6,10,2,10,0,4,1,39,1
42,190910,0,0,45,4,11,2,3,0,4,1,39,0
18,41879,0,0,25,4,11,4,6,4,4,1,39,0
58,137249,0,0,33,2,11,0,4,1,4,1,39,0
54,236157,0,1887,40,4,11,2,10,0,4,1,39,1
34,189759,0,0,40,4,12,4,10,1,4,1,39,0
26,239877,0,0,40,4,9,4,1,1,4,0,39,0
61,21175,0,0,60,4,2,2,4,0,4,1,39,0
48,67229,0,0,40,2,12,5,1,4,2,0,39,0
36,236391,0,0,45,4,15,2,4,0,4,1,39,1
24,325596,0,0,45,4,8,2,7,0,4,1,39,0
40,83411,0,0,37,4,15,2,7,0,4,1,39,0
33,154227,0,0,50,5,11,2,12,0,4,1,39,1
37,248010,0,1887,40,4,15,2,7,0,4,1,39,1
34,198613,4650,0,40,4,12,4,4,3,4,1,39,0
56,321529,15024,0,40,5,15,2,4,0,4,1,39,1
28,168524,0,0,38,0,11,2,0,3,4,0,39,1
37,203079,0,0,55,4,9,6,4,1,4,0,39,0
44,284652,0,0,40,4,11,0,12,4,2,0,39,0
64,201368,0,0,8,0,15,2,0,0,4,1,39,0
54,59840,0,0,45,4,11,0,6,1,4,1,39,0
23,52753,0,0,50,4,11,4,7,1,4,1,39,0
34,513100,0,0,40,7,9,3,5,1,2,1,0,0
22,199266,0,0,45,4,11,4,8,1,4,0,39,0
33,196385,0,1977,40,4,9,2,4,0,4,1,39,1
39,163205,0,0,50,4,9,5,10,1,4,1,39,1
47,411047,0,0,37,4,15,0,1,1,2,0,39,0
79,48574,0,0,40,0,5,6,0,1,4,1,39,0
26,209440,0,0,55,4,11,4,10,4,2,0,39,0
31,56964,0,0,40,4,15,0,4,4,4,0,39,0
44,299197,0,0,45,4,15,4,14,1,4,1,39,0
42,240628,0,0,50,5,14,2,10,5,4,0,39,1
19,355313,0,0,40,4,11,4,7,1,4,0,39,0
27,132267,0,0,40,4,11,2,6,0,4,1,39,1
51,174861,0,0,40,2,15,2,11,0,4,1,39,1
28,142443,0,0,50,5,9,2,4,0,4,1,39,0
57,26716,0,0,45,4,9,0,3,1,4,1,39,0
45,185588,0,0,40,2,9,0,10,4,4,0,39,0
50,175029,0,0,40,4,8,2,10,0,4,1,39,1
34,34848,0,0,54,5,9,2,12,0,4,1,39,0
45,411273,0,0,40,4,5,2,3,0,2,1,39,0
73,143437,0,0,20,2,11,2,4,0,4,1,39,0
34,357145,0,0,50,4,9,2,10,5,4,0,39,1
31,236861,0,0,55,4,15,2,12,0,4,1,39,1
19,53355,0,0,12,4,1,4,12,1,4,1,39,0
25,29106,0,0,50,4,15,4,8,3,4,0,39,0
38,213274,6497,0,40,1,8,0,3,4,4,0,39,0
39,22463,0,0,40,4,9,2,14,0,4,1,39,0
23,180497,0,0,32,4,9,4,13,3,2,0,39,0
49,37306,0,0,40,4,11,2,7,0,4,1,39,0
33,137814,0,0,32,1,11,4,8,1,4,1,39,0
21,447488,0,0,38,4,4,4,7,2,4,1,26,0
31,220915,0,0,40,4,8,5,3,1,4,1,39,0
23,42251,0,0,45,4,9,4,4,1,4,0,39,0
34,162312,0,0,40,4,9,2,1,0,1,1,30,0
25,77698,0,0,40,4,11,4,7,1,1,0,30,0
39,282951,0,0,40,4,11,4,3,4,4,1,39,0
52,311259,0,0,40,5,11,2,12,0,4,1,39,1
63,65479,7688,0,40,2,6,2,14,0,4,1,39,1
41,277256,0,0,40,4,15,2,3,0,4,1,39,0
46,312088,15024,0,38,4,9,2,10,0,4,1,39,1
53,169719,0,0,40,2,11,2,4,0,4,1,39,0
25,270276,1055,0,40,0,6,5,0,1,4,0,39,0
77,172744,0,0,35,0,15,2,0,0,4,1,39,0
18,96869,0,0,40,4,2,4,9,3,4,1,39,0
38,237943,0,0,50,4,14,2,10,0,4,1,39,0
55,119751,0,0,50,4,12,4,4,4,1,0,37,0
34,236861,0,0,40,4,11,2,13,0,4,1,39,1
80,201092,0,0,30,6,11,2,8,0,4,1,39,0
34,147215,0,0,60,4,8,0,13,4,4,0,39,0
52,152373,5013,0,40,4,15,2,13,0,4,1,39,0
42,227968,0,0,28,4,11,4,8,4,2,0,14,0
26,362617,0,0,40,4,15,4,12,1,4,0,39,0
31,103435,0,0,40,4,11,2,14,0,4,1,39,0
25,281412,0,0,35,2,11,4,8,3,4,0,39,0
55,105239,0,2057,60,6,11,2,3,0,4,1,39,0
19,230165,0,0,12,4,15,4,8,3,4,0,39,0
62,177493,0,0,32,6,15,2,14,0,4,1,39,0
22,104443,0,0,20,1,15,4,1,3,4,0,39,0
39,110342,0,0,50,0,11,2,0,5,4,0,39,0
35,143385,0,0,40,4,11,2,6,0,4,1,39,0
28,107189,0,0,40,4,11,2,12,3,4,0,39,0
47,212944,0,0,70,4,11,2,14,0,4,1,39,1
44,138634,0,0,40,7,11,2,7,0,4,1,39,0
21,99970,0,0,15,4,15,4,12,3,4,1,39,0
35,203717,0,0,50,4,8,4,3,1,4,1,39,0
24,313956,0,0,40,4,9,2,10,0,4,1,39,1
42,177937,0,0,40,1,9,4,10,1,4,1,0,0
28,193868,0,0,50,4,9,4,13,3,4,1,39,0
21,250939,0,0,35,4,15,4,7,2,4,1,39,0
62,57629,4650,0,40,1,15,0,13,1,2,1,39,0
39,281768,0,0,40,4,11,4,8,1,2,0,39,0
30,260782,0,0,40,7,11,4,8,1,4,1,39,0
72,243769,0,1429,20,6,14,4,10,1,4,1,39,0
50,109937,0,0,50,4,15,2,4,5,4,0,39,0
28,134890,0,0,40,2,12,4,10,1,4,1,39,0
29,100293,0,0,40,4,15,4,10,1,4,0,39,0
26,132179,0,0,40,4,9,4,1,3,4,0,39,0
27,116372,0,0,40,4,12,4,4,1,4,0,39,0
29,255412,3103,0,40,4,15,2,6,0,4,1,39,1
61,195789,0,0,40,0,11,2,0,0,4,1,39,0
29,342400,0,0,25,4,0,2,3,0,4,1,39,0
21,65481,0,0,30,0,15,4,0,3,4,0,39,0
31,169085,0,0,20,4,1,2,12,5,4,0,39,0
25,177221,0,0,75,4,11,2,4,0,4,1,39,0
58,65325,0,0,40,4,0,2,14,0,4,1,39,1
64,118944,0,0,40,4,15,2,4,5,4,0,39,1
46,149337,0,0,38,7,12,4,4,1,4,1,39,0
53,237868,0,0,35,0,11,2,0,0,4,1,39,1
19,106183,0,0,35,4,11,4,8,3,0,0,39,0
42,226388,0,0,52,4,11,0,8,1,2,1,39,0
18,220754,0,0,24,4,1,4,6,3,4,1,39,0
58,204021,15024,0,50,5,9,2,3,0,4,1,39,1
20,347391,0,0,60,4,15,4,11,1,2,1,39,0
35,413930,0,0,40,1,11,2,3,0,4,1,39,1
32,174201,0,0,38,4,11,2,6,0,4,1,39,1
23,145917,0,0,25,4,11,4,6,1,4,0,39,0
31,241797,0,0,40,4,15,0,13,4,4,0,39,0
33,265168,0,0,55,4,9,2,12,0,2,1,39,0
41,171234,0,0,48,4,15,4,7,1,4,0,39,0
22,178452,0,0,40,4,11,4,7,3,2,1,39,0
46,157857,0,0,40,4,15,2,11,0,4,1,39,1
61,512864,0,0,40,1,15,2,14,0,2,1,39,0
30,296462,0,0,40,4,11,4,4,1,2,1,39,0
42,171615,0,0,55,4,11,2,4,0,4,1,39,1
63,214071,0,0,40,4,0,2,6,0,4,1,39,0
26,172421,0,0,40,4,15,2,12,0,4,1,39,0
42,195488,0,0,40,4,0,0,1,4,4,0,39,0
23,316841,0,0,40,4,15,2,8,0,4,1,39,0
25,236267,0,1590,40,4,11,4,7,4,4,1,39,0
30,236543,0,0,32,4,6,2,8,0,4,1,8,1
23,318483,0,0,40,4,11,4,12,3,4,1,39,0
34,163756,27828,0,60,6,8,4,5,1,4,1,39,1
30,238186,0,2057,48,4,11,2,7,2,4,1,39,0
39,329980,0,0,40,4,15,2,3,0,4,1,39,1
30,169269,0,1721,38,4,1,4,6,2,4,1,33,0
38,34744,0,0,38,2,15,0,1,4,4,0,39,0
26,98114,0,0,40,4,11,0,4,3,4,0,39,0
20,109667,0,0,16,4,15,4,6,3,4,1,39,0
37,263690,0,0,40,2,9,4,10,4,2,1,0,0
33,147430,0,0,40,4,11,2,1,3,4,0,39,0
24,224238,0,0,40,4,9,4,1,3,4,1,39,0
42,212894,0,0,60,5,9,2,4,0,4,1,39,1
51,136708,3103,0,84,6,11,2,12,0,1,1,40,0
56,38573,0,0,45,2,7,2,13,0,4,1,39,1
22,197200,0,0,40,4,15,4,6,3,4,1,39,0
52,182796,0,0,60,6,15,2,5,0,4,1,39,0
44,184527,4934,0,45,4,9,0,4,4,4,0,39,1
34,145231,4064,0,35,4,11,2,1,5,4,0,39,0
51,43354,0,0,42,4,15,0,3,1,4,1,39,1
20,318865,0,0,40,0,15,4,0,1,4,1,39,0
19,355712,0,0,25,4,15,4,12,1,4,0,39,0
37,98776,0,0,40,4,9,2,4,0,4,1,39,1
68,257557,0,0,40,4,11,2,7,0,2,1,39,1
22,102258,0,0,40,4,15,0,11,1,4,1,39,0
56,170287,0,0,40,5,9,2,4,0,4,1,39,0
37,243409,0,0,40,4,11,2,3,0,4,1,39,0
52,55608,0,0,40,4,3,2,7,0,4,1,26,0
26,248057,0,0,40,4,11,5,6,3,4,1,33,0
33,95530,0,0,50,4,12,2,10,0,4,1,39,0
45,54038,0,0,42,2,12,0,10,4,4,0,39,0
18,161245,0,0,15,4,1,4,8,3,4,1,39,0
43,388725,0,0,60,6,15,2,5,0,4,1,39,1
64,71807,15024,0,50,6,10,2,10,0,4,1,0,1
18,228216,0,0,20,4,11,4,6,3,4,1,39,0
20,303121,0,0,45,0,15,4,0,3,4,1,39,0
57,78020,0,0,40,4,11,2,3,0,4,1,39,1
41,249254,3674,0,42,4,11,0,1,4,4,0,39,0
34,87218,0,1887,50,4,12,2,4,0,4,1,39,1
19,304299,0,0,40,4,11,4,12,4,4,0,39,0
44,196234,0,0,55,4,6,0,8,4,4,0,6,0
56,197875,0,0,40,4,0,6,8,4,4,0,39,0
36,48063,0,0,80,5,11,2,5,0,4,1,39,0
48,253596,0,0,48,4,9,0,4,4,4,0,39,0
29,39257,0,0,40,4,11,2,14,0,4,1,39,1
33,56150,2174,0,40,4,9,4,3,1,4,1,39,0
31,179415,0,0,40,4,4,2,8,0,4,1,26,0
39,252445,0,0,45,4,12,2,10,0,4,1,39,1
66,275918,10605,0,40,4,11,2,4,0,4,1,39,1
27,106562,0,0,50,4,9,4,10,1,4,0,39,1
39,198654,99999,0,40,4,11,0,4,4,2,0,39,1
59,107318,5178,0,50,4,5,2,3,0,4,1,39,1
26,181896,0,0,40,4,11,4,8,3,4,0,39,0
31,106014,0,0,40,4,8,0,3,4,4,1,39,0
45,319993,0,0,40,0,11,6,0,4,4,0,26,0
23,197997,0,0,30,4,11,4,6,3,4,1,39,0
36,173542,0,0,40,2,11,0,1,4,4,0,39,0
34,207564,0,0,12,4,15,2,8,5,4,0,39,1
32,224462,0,0,84,4,11,2,14,0,4,1,39,1
37,123361,0,0,50,4,9,2,10,0,2,1,39,1
33,90409,0,0,45,4,9,4,12,1,4,1,39,0
50,165001,99999,0,80,6,14,2,10,0,4,1,39,1
32,149573,0,0,40,1,7,4,11,1,2,1,39,0
35,249456,0,0,40,4,9,4,1,3,2,0,39,0
37,149898,0,0,40,4,1,2,3,0,4,1,39,0
44,292985,0,0,60,4,15,0,3,1,4,1,39,0
57,50223,0,0,25,4,15,0,6,2,4,1,39,0
29,400074,0,0,40,2,15,2,4,3,4,0,39,0
55,197399,0,0,50,4,11,2,3,0,4,1,39,1
43,209547,0,0,25,5,14,2,10,0,4,1,39,1
43,52433,0,0,70,4,15,2,12,0,4,1,39,0
45,355978,0,0,60,6,15,2,12,0,4,1,39,1
33,48214,0,0,8,6,12,2,10,5,4,0,39,0
26,190873,0,0,40,4,0,0,8,4,4,0,11,0
23,278390,0,0,68,4,15,2,12,0,4,1,39,0
41,203217,0,0,40,4,5,5,3,1,4,1,26,0
24,279175,0,0,40,4,11,2,3,0,4,1,39,0
47,194590,0,0,44,6,9,2,12,0,4,1,39,0
34,198813,0,0,45,6,11,4,3,3,4,1,39,0
40,187294,0,0,40,4,11,2,4,0,4,1,39,1
28,302903,0,1485,40,4,9,2,10,5,1,0,39,0
24,154835,0,0,40,4,11,4,4,3,1,0,35,0
73,73402,0,0,10,0,15,2,0,0,4,1,39,0
23,100345,0,0,15,4,11,4,3,2,4,1,39,0
43,126320,0,0,40,6,11,2,4,0,2,1,39,1
26,142226,0,0,40,4,9,0,13,1,4,0,39,0
58,112076,0,1485,35,6,10,1,4,5,4,0,39,1
52,225339,0,0,35,4,11,6,1,4,2,0,39,0
29,211208,0,0,99,4,1,2,14,0,4,1,39,1
47,200808,0,0,35,4,1,2,8,0,4,1,4,0
49,220618,0,0,37,4,11,0,1,4,2,0,39,0
40,210493,0,0,40,4,1,6,1,4,4,0,39,0
62,369734,0,0,40,6,11,2,1,5,4,0,39,0
49,27898,0,1977,55,4,11,2,4,0,4,1,39,1
50,138193,0,0,50,4,9,0,10,2,4,0,39,1
31,224234,0,0,40,4,11,4,14,3,2,1,39,0
48,188741,0,0,50,2,12,4,10,1,4,0,39,0
24,183772,0,0,40,4,11,4,3,4,4,0,39,0
41,155041,3418,0,40,0,11,4,0,3,4,0,39,0
37,79586,0,0,60,4,11,5,7,3,1,1,39,0
45,355781,0,0,45,4,9,2,4,0,1,1,24,1
63,156158,0,0,16,0,11,2,0,0,4,1,39,0
36,116358,0,0,45,4,12,2,4,0,1,1,19,0
45,59287,0,0,40,4,9,2,4,0,4,1,39,0
41,138868,0,0,40,4,9,4,12,1,4,0,39,0
26,185885,0,0,20,4,7,4,13,2,4,0,39,0
17,40299,0,0,25,4,1,4,12,3,4,0,39,0
27,500068,0,0,36,4,11,2,8,0,4,1,0,0
43,51494,0,0,65,4,11,2,7,0,4,1,39,0
35,179481,0,0,55,4,11,4,14,3,4,1,39,0
38,365907,0,0,40,4,9,0,1,4,4,0,39,0
26,284343,0,0,40,4,11,4,7,1,4,1,39,0
28,204862,0,0,40,4,15,4,4,3,4,0,39,0
38,272476,0,0,24,4,9,2,10,5,4,0,39,1
36,175130,0,0,40,4,1,0,14,4,4,0,39,0
33,118941,0,0,40,4,11,2,1,5,4,0,39,1
19,164339,1055,0,70,4,11,4,6,3,4,1,39,0
22,213291,0,0,25,0,7,4,0,3,4,1,39,0
42,55457,0,0,40,1,0,2,1,0,4,1,26,0
50,280292,0,0,40,4,0,2,14,0,4,1,39,1
30,446894,0,0,30,4,11,2,6,0,4,1,39,0
37,67083,0,0,40,7,15,2,10,2,1,1,1,0
54,159219,99999,0,40,5,14,2,10,0,4,1,39,1
52,168539,0,0,40,5,9,4,4,1,4,1,39,0
65,88145,0,0,40,4,3,2,6,0,3,1,0,0
33,150309,0,0,40,4,11,0,3,1,4,0,39,0
25,122999,0,0,40,4,15,4,13,2,4,1,39,0
24,302195,0,0,45,4,9,4,12,1,4,1,39,0
26,210982,114,0,40,4,8,5,1,4,2,0,39,0
39,177140,0,0,40,4,11,5,1,1,4,1,39,1
59,113838,0,0,40,4,11,0,8,1,4,0,39,0
29,97165,0,0,40,4,15,4,1,4,4,0,39,0
47,104301,0,0,45,4,1,4,8,3,4,0,39,0
23,192028,0,0,35,0,15,4,0,3,4,0,39,0
64,115931,0,0,50,5,11,2,14,0,4,1,39,0
21,147280,0,0,20,4,11,4,8,3,3,1,39,0
32,185433,0,0,40,4,15,2,1,5,2,0,39,1
26,599057,0,0,37,4,11,4,4,1,2,0,39,0
19,50626,0,0,20,0,15,4,0,3,2,0,39,0
62,71467,0,0,40,6,12,2,10,0,4,1,39,0
32,183977,0,0,55,4,9,2,3,0,4,1,39,1
75,26586,0,0,5,0,0,3,0,1,4,0,39,0
45,196858,0,0,60,6,11,2,4,0,4,1,39,0
31,160594,0,1887,50,4,9,2,4,0,4,1,39,1
32,65278,2580,0,40,4,11,2,1,0,4,1,39,0
24,102258,0,0,40,4,9,2,12,0,4,1,39,0
25,196947,0,0,40,4,9,4,12,3,4,0,39,0
41,233150,0,0,60,6,11,2,4,0,4,1,39,0
18,42857,0,0,20,4,15,4,12,3,4,0,39,0
44,118059,0,0,55,4,10,2,10,0,4,1,39,1
40,169262,3411,0,50,4,15,2,4,0,4,1,39,0
27,95108,0,0,40,4,9,4,10,1,4,1,39,0
23,161092,0,0,40,4,9,4,1,3,4,1,39,0
21,345253,2174,0,40,4,15,4,1,1,3,1,39,0
37,111275,0,0,40,7,11,2,14,0,4,1,39,0
65,178878,0,0,48,6,11,2,5,0,4,1,39,0
43,157237,0,0,40,1,12,2,10,0,4,1,39,1
45,155664,0,0,44,4,11,4,1,1,4,1,39,0
24,322658,0,0,40,7,9,4,4,1,4,0,39,0
24,208503,0,0,42,4,15,4,7,1,4,1,39,0
19,223326,0,1721,35,2,15,4,11,3,4,1,39,0
37,20308,0,0,65,4,9,2,10,0,4,1,39,1
24,124751,0,0,35,4,11,4,1,3,4,0,39,0
34,113364,0,0,40,4,15,2,7,0,4,1,11,0
50,196900,0,0,39,7,11,2,8,5,4,0,39,0
36,168170,0,0,40,4,11,2,3,0,4,1,33,0
39,205338,0,0,60,4,9,2,12,0,4,1,39,0
44,98806,0,0,38,6,5,2,3,0,4,1,39,0
45,226452,0,0,40,7,11,2,8,0,4,1,39,0
32,479179,0,0,40,7,1,4,11,3,4,1,39,0
47,471990,0,0,40,1,12,2,4,0,2,1,39,1
50,44728,0,0,40,4,11,2,7,0,4,1,39,0
32,33117,0,0,40,4,8,2,8,0,4,1,39,0
19,264876,0,0,40,4,11,4,6,3,4,1,39,0
19,47235,0,0,20,0,15,4,0,3,4,0,39,0
28,293628,0,0,10,7,12,0,10,1,4,1,0,0
28,193122,0,0,50,4,11,0,12,2,4,1,39,0
39,149347,0,0,40,1,12,4,10,1,4,1,31,1
21,129172,2907,0,40,4,15,4,8,1,4,1,39,0
73,151255,0,0,75,6,15,6,5,1,4,0,39,0
